Produktnummer;Produktname;Lagerkürzel;Lagerplatz;Standardlagerplatz;Bestand
100223;Rep. Satz 4-Gang, Lagerung des Schaltgestänges im Motorraum, inkl. Schaltstangen, Golf 1 &Co;HL;;no;0
100224;Streuscheibe für Blinker in Orange, Golf &Co, OE Ref. 171953141;HL;2-I7-405-1;yes;4
100225;Golfball Schaltknauf OE Ref. 113711141D;HL;2-N3-603-1;yes;4
100226;Golfball Schaltknauf mit 5 Gang Schaltschema, OE Ref. 171711141E;HL;2-N3-603-2;yes;1
100227;Schaltknauf 1 te Baureihe OE Ref. 141711141D;HL;2-N5-704-6;yes;1
100229;"VW Caddy 1 14D Schriftzug """"CADDY"""" OE Ref. 147853687";HL;;no;0
100230;Federmutter / Käfigmutter 6,3 für Kotflügelverschraubung unten hinten Golf &Co, T4, OE Ref. N0120622;HL;2-O3-601-1;yes;17
100231;Schlüsselrohling, AH Profil, Golf &Co, Passat, ab 08/1987, OE Ref. 191837219B;HL;N-03-5-4-3;yes;8
100232;Clip für Karmann Seitenschweller vom Golf 1 Cabrio 6 Stück OE Ref. 155853147A;HL;;no;0
100233;Satz Clips und Schrauben für Karmann Verbreiterung, Golf 1 Cabrio, OE Ref. 155853139, 155853149;HL;;no;0
100234;Distanzring Vergaser Modelle Tankstutzen Tanklochblech OE Ref. 171201141;HL;2-K1-304-4;yes;17
100235;Abdeckung Blende Antenne OE Ref. 443821169;HL;2-N11-504-2;yes;6
100236;Muffe für Chromkeder, Golf 1 &Co und T3, OE Ref. 171853339A;HL;N-07-1-4-1;yes;8
100238;Deckel unter Schalthebel, Golf 1 &Co, OE Ref. 171711210;HL;2-N5-601-1;yes;13
100239;Blinker komplett Orange OE ref. 171953055D;HL;2-I7-405-2;yes;6
100240;Schlauch Kurbelwellen Entlüftung Golf &Co Vergaser 1,5-1,6L OE Ref. 056103493;HL;2-M5-101-2;yes;7
100241;Thermostat 87 Grad mit Dichtung Golf & Co Diesel und Benziner, T4, OE Ref. 056121113D;HL;2-F1-402;yes;6
100242;Lichtschalter Dimmbar 8-Polig Golf 1 &Co und Passat OE Ref.321941531K;HL;2-N1-202-1;yes;2
100243;Lichtschalter 10-polig für LWR Golf 1 Cabrio OE Ref. 323941531G;HL;2-N1-304-2;yes;6
100244;Kühlwasserflansch Vorne 1,6l und 1,8L inkl. Dichtungen OE Ref. 037121132B;HL;;no;0
100245;Fensterkurbel mit Distanzring in Schwarz OE Ref. 191837581;HL;2-N11-503-2;yes;10
100246;Lenkradschloss mit Zündstartschalter und Schließzylinder OE Ref. 321905851D;HL;;no;0
100247;Vergaserflansch für 1.6L und 1.8L mit 2E2 Pierburg Vergaser, Golf &Co, OE Ref. 026129761A;HL;2-N17-203-4;yes;0
100248;Vergaserflansch 1.6L und 1.8L, Golf &Co, OE Ref. 026129761E;HL;2-N17-203-1;yes;4
100249;Ausgleichsbehälter Kühler T3 Diesel OE Ref. 025121403A;HL;2-F1-701;yes;1
100250;Kühlwasserschlauch Wasserpumpe zu Rohrleitung, Variante mit Ölkühler, OE Ref. 068121063M;HL;2-H2-505-1;yes;9
100251;Kühlwasserschlauch von Kühler nach Wasserpumpe Golf 2 &Co, OE Ref. 191121051E;HL;2-G2-404;yes;4
100252;Kühlwasserschlauch von Kühler nach Zylinderkopf Golf 2 &Co OE Ref. 191121101P;HL;2-I1-603;yes;3
100253;Kühlwasserschlauch von Kühler nach Zylinderkopf OE Ref. 191121101Q;HL;2-H2-803;yes;2
100256;Ausgleichsbehälter für Servolenkung OE Ref. 191422371D;HL;2-F1-304;yes;2
100257;Bremslichtschalter mechanisch, Golf 2 & CO, T4 Bus OE Ref. 191945515B;HL;2-N3-305-2;yes;4
100258;Dichtung Set für Einspritzdüse, 8 Stück,  OE Ref.035133557A  und 034133557E;HL;;no;0
100259;Öldruckschalter, M 10 x 1 mm, Farbmarkierung: blau, 0,15 - 0,35 bar  Golf &Co OE Ref. 028919081D;HL;2-N3-303-2;yes;4
100260;Öldruckschalter, Grau 0,9 Bar, mit Dichtring, Golf &Co, Passat, T3, OE Ref. 068919081A;HL;2-N1-305-4;yes;4
100261;Öldruckschalter am Ölfilterflansch, weiß, 1,8 bar, ab Bj. 08/82, T4, OE Ref. 056919081;HL;2-N3-202-1;yes;2
100262;Geber, Sensor bzw. Schalter für Kühlwasser mit Standardstecker OE Ref. 251919372;HL;2-N7-803-1;yes;5
100263;Sensor für Kühlmitteltemperatur, Farbcode Rot ab Bj 07/1987, T4, OE Ref. 251919369B;HL;;no;0
100264;Sensor für Kühlmitteltemperatur Farbcode Blau, Golf &Co, T4 Bus, OE Ref. 025906041A;HL;;no;0
100265;Schalter für  Rückfahrleuchte bis 1,3L Hubraum mit 2 Pins OE Ref. 084941521;HL;2-N1-305-5;yes;2
100266;Bremslichtschalter hydraulisch, 2 Pins, OE Ref. 113945515H;HL;2-N1-201-1;yes;5
100267;Öldeckel, Verschluss für Ventildeckel in Schwarz OE 06A103485C;HL;2-M5-103-4;yes;4
100268;Deckel für Ausgleichsbehälter Kühler T3 ab Bj. 04/1983  OE Ref. 025121321B;HL;M-06-4-3-2;yes;1
100269;Schaltfinger für hintere Umlenkung der Schaltung ab 08/1982 OE Ref. 251711221F;HL;2-N1-702-1;yes;2
100270;Gummilager Lager für vordere Drehmomentstütze Golf1 &Co OE Ref. 171199339;HL;L-16-4-6;yes;50
100271;Kraftstoffpumpe mechanisch, 1,5L-1,8L Hubraum, OE Ref. 026127025A;HL;2-L2-604;yes;1
100272;Tachowelle OE Qualität T3 ab 08/1981 OE Ref. 251957803E;HL;2-J1-201;yes;3
100273;Schlüsselrohling, Profil HV, bis BJ 87, Golf 1 &Co, OE Ref. 161837219;HL;N-03-1-5-3;yes;6
100274;Steinschlagschutzecke, rechts, Golf 1, OE Ref. 171853932A;HL;2-K7-504;yes;4
100275;Fensterkurbel in Schwarz mit Metallkern Golf 1 & Co und T3 OE Ref. 321837581;HL;2-N11-501-1;yes;28
100278;Montagesatz für große Armlehne, Golf 1 & Co, OE Ref. 161867199 und 155867199;HL;;no;0
100280;"Schriftzug"""" Polo GL Classic """" für VW Polo 82-94  OE Ref. 874853687E";HL;2-N3-402-3;yes;3
100281;"Schriftzug """" Scirocco GT """"  Baujahr 81-92 OE Ref. 533853687B GX2";HL;;no;0
100283;Traggelenk für Querlenker, 17mm, Golf 1 &Co, OE Ref. 171407365F;HL;2-J4-501;yes;6
100284;Spurstangenkopf, Golf 1 &Co und T3, OE Ref. 171419812 bzw 251419811;HL;2-J2-501;yes;11
100286;GTI Frontspoiler, 2-teilig, breite GTI Version, Golf 1 &Co, OE Ref. 171805903B und 171805904B;HL;3-F7-301;yes;5
100287;Querlenker ohne Lager und Gelenk Golf 1 &CoOE Ref. 171407153D;HL;3-B4-302;yes;6
100288;Dichtung für Frontscheibe, mit Nut für Keder, VW Golf 1 & Co, OE Ref. 171845121A;HL;2-G9-402;yes;2
100289;Lenkstockhebel Set  Golf 2 & Co Bj. 08/87 bis 07/89  OE Ref.191953513B und 191953519;HL;;no;0
100292;Vergaserflansch für MKB PN und PP, Golf 2 und Passat, OE Ref. 050129761C;HL;2-N17-204-3;yes;1
100293;Reparatursatz für Schalthebel OE Ref. 191798116A;HL;2-N3-703-1;yes;17
100294;Schalter für elektrischen Fensterheber, Golf 2 & Co, OE Ref. 191959855;HL;2-N3-305-1;yes;4
100295;Gummi - Metall Dichtung für Ölwanne 1,5l bis 1,8L Golf &Co, T4, OE Ref. 044103609D;HL;2-M1-601;yes;2
100296;Lager Set für Stabilisator vorne, vierteilig, Golf 1 &Co OE Ref. 171411313 und 171411314A;HL;;no;0
100297;Spiegel von außen verstellbar, mit Dichtung, für links, OE Ref. 171857501;HL;2-I11-504-1;yes;2
100298;Spiegel von Außen verstellbar mit Dichtung für Rechts OE Ref. 171857502D;HL;2-I13-501-1;yes;2
100300;Bremsleitungssatz Golf 2 Syncro ohne ABS;HL;;no;0
100301;Dichtung Getriebeflansch Verschlussdeckel 1,1L bis 1,8L OE Ref. 020409289B;HL;2-M1-401-3;yes;8
100302;Vorwiderstand für  Heizungsgebläse VW Golf 2 mit Klima OE Ref. 191959263;HL;2-N3-304-6;yes;1
100303;Temperaturfühler Kühlwassertemperatur für Alu Wasserstutzen OE Ref. 175919501;HL;2-N1-204-1;yes;4
