SKU;Variant HS Code
102952;87089997
102953;87089997
102954;87089997
102955;87089997
102956;87089997
103275;87089997
103280;87082990
103289;87089997
103290;87089997
103295;87089997
103308;87089997
103319;87089997
103317;87089997
103329;87089997
103347;87089997
103348;87089997
103367;87089997
103385;87089997
100787;40093100
100791;40093100
100794;87089997
101262;40093100
101263;87089997
102506;40093100
102509;40093100
102512;39172900
102801;87089997
103205;87089997
103394;87082990
103400;87082990
103402;87082990
103404;87082990
103421;87089997
103425;87089997
103430;87089997
103432;87089997
103433;87089997
103436;87089997
103057;87089997
103369;87089997
103443;87082990
103512;87089997
103515;87089997
103525;87089997
103532;87089997
103533;87089997
103542;87089997
103545;73043982
103546;73043982
103551;87082990
103556;87089997
103508;87089997
103568;87089997
103573;87089997
103564;87089997
103585;87089997
103311;87089997
103312;87089997
103314;87089997
103592;87082990
103593;87082990
103594;87089997
103595;87089997
103618;87089997
103619;87089997
103620;87089997
103623;87089997
103638;87089997
103719;87089997
103696;87089997
103730;87089997
103734;87089997
103749;87089997
103750;87089997
101405;87089997
101411;87089997
101414;87089997
101418;87089997
101426;87089997
101427;87089997
101433;87089997
101434;87089997
101436;87089997
101909;87089997
103107;87089997
103117;87089235
103118;87089235
103125;87089997
103648;87089997
103649;87089997
103744;87089997
103764;87089997
103768;87089997
103778;87089997
103783;87089997
103784;87089235
100433;87089997
101256;39269097
101501;87089997
102731;87089997
102793;87089997
102834;87089997
103046;87089997
103115;87089997
103334;87089997
103578;87089997
SW10186;40093100
SW10187;40093100
SW10188;40093100
SW10192;40093100
SW10198;87082990
SW10203;87089997
SW10216;87089997
SW10217;87089997
SW10218;87089997
103712;87089997
SW10219;87089997
SW10236;87089997
SW10252;87089997
SW10267;87089997
SW10270;87089997
SW10273;87089997
SW10275;87089997
SW10308;87089997
SW10315;90329000
SW10316;90329000
SW10324;87089997
SW10332;87089499
SW10340;87089997
SW10341;87089997
SW10371;87082990
SW10398;87089997
SW10400;87089997
SW10406;87089997
SW10407;87089997
SW10408;39174000
SW10422;87089997
SW10423;87089997
SW10424;87089997
SW10429;87089997
SW10431;87089997
SW10444;90278990
SW10445;90278990
SW10446;87089997
SW10447;87089997
SW10467;85124000
SW10469;87089997
SW10472;87089997
SW10480;87089997
SW10487;87089997
SW10491;84099100
SW10492;87089997
SW10509;87089997
SW10529;87089997
SW10530;87089997
SW10531;87089997
SW10537;83023000
SW10550;87089997
SW10552;87084099
SW10568;87089997
SW10572;87089997
SW10294;87089997
102694;87089997
SW10351;87089997
SW10352;87089997
SW10353;87089997
SW10355;87089997
SW10377;87089997
